category;no;indicator_code;criteria;answer;max_score;calculated_score;evidence_required;colored
Setting and Infrastructure (SI);1.1;N/A;Types of higher education institution;[1] Comprehensive;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.1;N/A;Types of higher education institution;[2] Specialized higher education institution;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[1] Tropical wet;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[2] Tropical wet and dry;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[3] Semiarid;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[4] Arid;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[5] Mediterranean;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[6] Humid subtropical;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[7] Marine west coast / oceanic climate;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[8] Humid continental;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.2;N/A;Climate;[9] Subarctic;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.3;N/A;Number of campus sites;Provide number;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[1] Rural;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[2] Suburban;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[3] Urban;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.4;N/A;Campus setting;[4] City center;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.5;N/A;Total campus area (m2);Provide number;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.6;N/A;Total campus ground floor area of buildings (m2);Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.7;N/A;Total campus buildings area (m2);Provide number;N/A;N/A;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[1] ? 1%;200;0.05x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[2] > 1 - 80%;200;0.25x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[3] > 80 - 90%;200;0.50x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[4] > 90 - 95%;200;0.75x200;Yes;N/A
Setting and Infrastructure (SI);1.8;SI1;The ratio of open space area to total area;[5] > 95%;200;1.00x200;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[1] ? 2%;100;0.05x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[2] > 2 - 10%;100;0.25x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[3] > 10 - 25%;100;0.50x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[4] > 25 - 35%;100;0.75x100;Yes;N/A
Setting and Infrastructure (SI);1.9;SI2;Total area on campus covered in forest vegetation used for research, teaching, and/or community engagement;[5] > 35%;100;1.00x100;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[1] ? 10%;200;0.05x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[2] > 10 - 20%;200;0.25x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[3] > 20 - 30%;200;0.50x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[4] > 30 - 50%;200;0.75x200;Yes;N/A
Setting and Infrastructure (SI);1.10;SI3;Total area on campus covered in planted vegetation;[5] > 50%;200;1.00x200;Yes;N/A
Setting and Infrastructure (SI);1.11;N/A;Total number ofo regular students;Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.12;N/A;Total online students;Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.13;N/A;Total academic and administrative staff;Provide number;N/A;N/A;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[1] ? 10  m²/person;200;0.05x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[2] > 10 - 20  m²/person;200;0.25x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[3] > 20 - 40  m²/person;200;0.50x200;No;N/A
Setting and Infrastructure (SI);1.14;SI4;The total open space area divided by the total campus population;[4] > 40 - 70  m²/person;200;0.75x200;No;N/A
