no;university;country
1;Zonguldak Bülent Ecevit University;Türkiye
2;Ege University;Türkiye
3;University of Zanjan;Iran
4;Tarbiat Modares University;Iran
5;Universitas Diponegoro;Indonesia
6;National Pingtung University of Science and Technology;Taiwan
7;People’s Friendship University of Russia;Russia
8;University of São Paulo;Brazil
9;Kazakh National Agrarian University;Kazakhstan
10;University College Cork;Ireland
11;Siam University;Thailand
12;University of L’Aquila;Italy
13;Universidad de Navarra;Spain
14;University of Oviedo;Spain
15;El Bosque University;Colombia
16;University of Minho;Portugal
17;Riga Technical University;Latvia
18;Grand Asian University Sialkot;Pakistan
19;Escuela Superior Politécnica de Chimborazo;Ecuador
20;Holy Spirit University of Kaslik;Lebanon
21;University of Szeged;Hungary
22;University of Pécs;Hungary
23;University of Sousse;Tunisia
24;University of Sharjah;United Arab Emirates
25;Bukhara State University;Uzbekistan
26;October 6 University;Egypt
27;Batangas State University;Philippines
28;Al-Muthanna University;Iraq
29;Koya University;Iraq
30;Lagos State University;Nigeria
31;Toronto Metropolitan University;Canada
32;Universidad Católica de Córdoba;Argentina
33;Universidad Privada Dr. Rafael Belloso Chacín;Venezuela
34;Daffodil International University;Bangladesh
35;Ala-Too International University;Kyrgyzstan
